玩家名,行,列,用时/秒,时间,UNIX时间戳
嘿嘿,14,10,'1.33,Fri Jan 28 2022 19:01:44 GMT+0800 (中国标准时间),1643367704
芜湖,14,10,'1.06,Fri Jan 28 2022 19:04:15 GMT+0800 (中国标准时间),1643367855
Nico,14,10,'2.25,Fri Jan 28 2022 19:22:10 GMT+0800 (中国标准时间),1643368930
lava火山熔岩,14,10,'2.24,Fri Jan 28 2022 19:42:57 GMT+0800 (中国标准时间),1643370177
lava火山熔岩,20,14,'3.32,Fri Jan 28 2022 19:43:14 GMT+0800 (中国标准时间),1643370194
田所浩二,14,10,'2.28,Fri Jan 28 2022 19:44:12 GMT+0800 (中国标准时间),1643370252
涩谷香音,20,14,'2.39,Fri Jan 28 2022 19:44:43 GMT+0800 (中国标准时间),1643370283
涩谷香音,20,14,'3.16,Fri Jan 28 2022 19:44:54 GMT+0800 (中国标准时间),1643370294
涩谷香音,20,14,'2.19,Fri Jan 28 2022 19:45:02 GMT+0800 (中国标准时间),1643370302
涩谷香音,20,14,'2.15,Fri Jan 28 2022 19:45:07 GMT+0800 (中国标准时间),1643370307
田所浩二,20,14,'1.32,Fri Jan 28 2022 19:47:38 GMT+0800 (中国标准时间),1643370458
岚千砂都,20,14,'5.31,Fri Jan 28 2022 19:52:46 GMT+0800 (中国标准时间),1643370766
唐可可,14,10,'2.08,Fri Jan 28 2022 19:57:40 GMT+0800 (中国标准时间),1643371060
唐可可,14,10,'1.54,Fri Jan 28 2022 19:57:53 GMT+0800 (中国标准时间),1643371073
chen,14,10,'2.81,Fri Jan 28 2022 20:04:31 GMT+0800 (中国标准时间),1643371471
chen,14,10,'1.41,Fri Jan 28 2022 20:04:50 GMT+0800 (中国标准时间),1643371490
chen,14,10,'1.05,Fri Jan 28 2022 20:05:04 GMT+0800 (中国标准时间),1643371504
chen,14,10,'1.35,Fri Jan 28 2022 20:05:10 GMT+0800 (中国标准时间),1643371510
chen,20,14,'1.78,Fri Jan 28 2022 20:05:17 GMT+0800 (中国标准时间),1643371517
chen,20,14,'2.76,Fri Jan 28 2022 20:05:52 GMT+0800 (中国标准时间),1643371552
丁綠龍,14,10,'2.97,Fri Jan 28 2022 20:06:39 GMT+0800 (中国标准时间),1643371599
chen,20,14,'1.01,Fri Jan 28 2022 20:06:54 GMT+0800 (中国标准时间),1643371614
chen,20,14,'0.87,Fri Jan 28 2022 20:07:21 GMT+0800 (中国标准时间),1643371641
天天434,20,14,'2.98,Fri Jan 28 2022 20:32:47 GMT+0800 (中国标准时间),1643373167
天天434,20,14,'1.85,Fri Jan 28 2022 20:34:33 GMT+0800 (中国标准时间),1643373273
天天434,20,14,'5.82,Fri Jan 28 2022 20:35:16 GMT+0800 (中国标准时间),1643373316
天天434,20,14,'3.34,Fri Jan 28 2022 20:35:31 GMT+0800 (中国标准时间),1643373331
天天434,20,14,'1.51,Fri Jan 28 2022 20:35:43 GMT+0800 (中国标准时间),1643373343
天天434,20,14,'1.37,Fri Jan 28 2022 20:35:51 GMT+0800 (中国标准时间),1643373351
天天434,20,14,'1.78,Fri Jan 28 2022 20:36:02 GMT+0800 (中国标准时间),1643373362
天天434,20,14,'1.69,Fri Jan 28 2022 20:36:07 GMT+0800 (中国标准时间),1643373367
天天434,20,14,'1.48,Fri Jan 28 2022 20:36:12 GMT+0800 (中国标准时间),1643373372
天天434,20,14,'1.18,Fri Jan 28 2022 20:36:20 GMT+0800 (中国标准时间),1643373380
